ID,Latitude,Longitude,Day,Hour,Minute,Duration,RemainingTime,Resources,Coverage,OnPeakHours,GridNumber,Ligitimacy
1,45.44214189,-75.30336925,1,4,13,40,40,9,91,0,131380,1
1,45.44215414,-75.30436606,1,4,23,40,30,9,91,0,131380,1
1,45.44210414,-75.30396326,1,4,33,40,20,9,91,0,121996,1
1,45.44186802,-75.30357741,1,4,43,40,10,9,91,0,121996,1
2,45.4477269,-75.14772228,2,15,49,30,30,5,47,0,140784,1
2,45.44774664,-75.14795065,2,15,59,30,20,5,47,0,140784,1
2,45.44779038,-75.14830313,2,16,9,30,10,5,47,0,140784,1
3,45.5088957,-75.2598072,2,12,27,30,30,4,43,0,243994,1
3,45.50874768,-75.26065152,2,12,37,30,20,4,43,0,243994,1
3,45.50808171,-75.26037992,2,12,47,30,10,4,43,0,243994,1
4,45.49420707,-75.19501384,1,11,37,30,30,3,68,0,215850,1
4,45.49397348,-75.19514803,1,11,47,30,20,3,68,0,215850,1
4,45.49347153,-75.19508559,1,11,57,30,10,3,68,0,215850,1
5,45.38141525,-75.25774513,0,19,22,30,30,3,90,0,18778,1
5,45.38136427,-75.25857188,0,19,32,30,20,3,90,0,18778,1
5,45.38130723,-75.25839831,0,19,42,30,10,3,90,0,18778,1
6,45.41023586,-75.20875459,3,22,25,30,30,10,32,0,75088,1
6,45.40978722,-75.20802189,3,22,35,30,20,10,32,0,75088,1
6,45.40940675,-75.20782528,3,22,45,30,10,10,32,0,65704,1
7,45.5652289,-75.23400982,5,12,9,50,50,9,75,0,337837,0
7,45.56475386,-75.23348145,5,12,19,50,40,9,75,0,337837,0
7,45.56468208,-75.23283622,5,12,29,50,30,9,75,0,337837,0
7,45.56449142,-75.23298055,5,12,39,50,20,9,75,0,337837,0
7,45.56428886,-75.23392376,5,12,49,50,10,9,75,0,337837,0
8,45.44668171,-75.14595922,5,13,1,10,10,8,73,0,131400,1
9,45.56141523,-75.14946738,1,21,11,10,10,6,82,0,328463,1
10,45.54401838,-75.14636444,3,20,39,20,20,2,82,0,300312,1
10,45.54457622,-75.14636444,3,20,49,20,10,2,82,0,300312,1
11,45.41611306,-75.12045547,5,6,15,10,10,10,93,0,84483,1
12,45.43667612,-75.19201768,2,16,59,30,30,6,70,0,122010,1
12,45.43669925,-75.19205684,2,17,9,30,20,6,70,0,122010,1
12,45.43655769,-75.19150441,2,17,19,30,10,6,70,0,112626,1
13,45.47033718,-75.18753086,1,4,14,20,20,2,94,0,178315,1
13,45.46973817,-75.18725425,1,4,24,20,10,2,94,0,178315,1
14,45.38908595,-75.23205436,4,2,26,60,60,4,73,0,37549,1
14,45.38904208,-75.23256133,4,2,36,60,50,4,73,0,37549,1
14,45.38899984,-75.23267408,4,2,46,60,40,4,73,0,37549,1
14,45.38861344,-75.23246358,4,2,56,60,30,4,73,0,37549,1
14,45.38886503,-75.23284648,4,3,6,60,20,4,73,0,37549,1
14,45.3884496,-75.2321917,4,3,16,60,10,4,73,0,37549,1
15,45.55579657,-75.14545358,2,22,11,20,20,2,51,0,319080,1
15,45.55574288,-75.14546161,2,22,21,20,10,2,51,0,319080,1
16,45.44423627,-75.18667692,0,18,49,40,40,3,65,0,131395,1
16,45.44440048,-75.18696499,0,18,59,40,30,3,65,0,131395,1
16,45.44475147,-75.18665341,0,19,9,40,20,3,65,0,131395,1
16,45.44473019,-75.18643823,0,19,19,40,10,3,65,0,131395,1
17,45.55032439,-75.16582382,4,9,31,20,20,9,100,1,309693,1
17,45.54992911,-75.16657041,4,9,41,20,10,9,100,1,309693,1
18,45.55218785,-75.18567854,3,9,52,50,50,10,38,1,319075,0
18,45.55216813,-75.18562099,3,10,2,50,40,10,38,1,319075,0
18,45.55255479,-75.18564021,3,10,12,50,30,10,38,1,319075,0
18,45.55289696,-75.18518604,3,10,22,50,20,10,38,1,319075,0
18,45.55290354,-75.18510977,3,10,32,50,10,10,38,1,319075,0
19,45.53277178,-75.30625924,1,17,20,40,40,9,40,0,281524,1
19,45.53245279,-75.30617921,1,17,30,40,30,9,40,0,281524,1
19,45.53278994,-75.30564644,1,17,40,40,20,9,40,0,281524,1
19,45.53251737,-75.30584405,1,17,50,40,10,9,40,0,281524,1
20,45.55578124,-75.18792719,0,17,5,40,40,6,66,0,319075,1
20,45.55638377,-75.18777596,0,17,15,40,30,6,66,0,328459,1
20,45.55694153,-75.1877621,0,17,25,40,20,6,66,0,328459,1
20,45.5568851,-75.18852634,0,17,35,40,10,6,66,0,328458,1
21,45.48816794,-75.27981621,0,12,52,30,30,6,79,0,206455,1
21,45.48768018,-75.28004153,0,13,2,30,20,6,79,0,206455,1
21,45.48804665,-75.28043414,0,13,12,30,10,6,79,0,206455,1
22,45.44206598,-75.15313106,4,17,57,50,50,1,63,0,122015,1
22,45.44203801,-75.15316324,4,18,7,50,40,1,63,0,122015,1
22,45.44182672,-75.15296832,4,18,17,50,30,1,63,0,122015,1
22,45.44177782,-75.15270906,4,18,27,50,20,1,63,0,122015,1
22,45.4420981,-75.1523785,4,18,37,50,10,1,63,0,122015,1
23,45.40356484,-75.10242435,5,18,42,60,60,8,66,0,56333,1
23,45.404007,-75.10217076,5,18,52,60,50,8,66,0,56333,1
23,45.40368252,-75.10263137,5,19,2,60,40,8,66,0,56333,1
23,45.40406442,-75.10340563,5,19,12,60,30,8,66,0,65717,1
23,45.4037019,-75.10393854,5,19,22,60,20,8,66,0,56333,1
23,45.40407773,-75.10388246,5,19,32,60,10,8,66,0,65717,1
24,45.53836267,-75.18905709,1,10,49,40,40,10,81,1,290922,1
24,45.53874369,-75.18915269,1,10,59,40,30,10,81,1,290922,1
24,45.53904945,-75.18861538,1,11,9,40,20,10,81,0,290922,1
24,45.53883894,-75.18887577,1,11,19,40,10,10,81,0,290922,1
25,45.54326338,-75.15328591,4,15,36,30,30,10,34,0,300311,1
25,45.5434504,-75.15259258,4,15,46,30,20,10,34,0,300311,1
25,45.54338743,-75.15259414,4,15,56,30,10,10,34,0,300311,1
26,45.53675776,-75.15980722,2,9,20,20,20,3,44,1,290926,0
26,45.53685008,-75.15944629,2,9,30,20,10,3,44,1,290926,0
27,45.46396213,-75.14370136,2,4,49,50,50,5,68,0,168936,1
27,45.46370739,-75.14464439,2,4,59,50,40,5,68,0,159552,1
27,45.46408669,-75.14524303,2,5,9,50,30,5,68,0,168936,1
27,45.46448997,-75.14511071,2,5,19,50,20,5,68,0,168936,1
27,45.46520704,-75.14519987,2,5,29,50,10,5,68,0,168936,1
28,45.41260738,-75.25524175,1,19,50,40,40,9,83,0,75082,1
28,45.41309458,-75.25550729,1,20,0,40,30,9,83,0,75082,1
28,45.41309239,-75.25553264,1,20,10,40,20,9,83,0,75082,1
28,45.41302489,-75.25563542,1,20,20,40,10,9,83,0,75082,1
29,45.54125848,-75.30298783,5,6,44,10,10,5,31,0,300292,1
30,45.54353316,-75.29998562,5,17,56,50,50,2,52,0,300293,1
30,45.5432648,-75.30053104,5,18,6,50,40,2,52,0,300293,1
30,45.54261087,-75.30024652,5,18,16,50,30,2,52,0,300293,1
30,45.54283832,-75.30051813,5,18,26,50,20,2,52,0,300293,1
30,45.54274481,-75.3004413,5,18,36,50,10,2,52,0,300293,1
31,45.54457612,-75.27848457,0,20,58,30,30,10,71,0,300295,1
31,45.54394783,-75.27854709,0,21,8,30,20,10,71,0,300295,1
31,45.54364851,-75.27915544,0,21,18,30,10,10,71,0,300295,1
32,45.55596912,-75.31740961,4,5,51,10,10,5,57,0,319058,1
33,45.46914695,-75.15383674,0,23,36,60,60,9,99,0,168935,0
33,45.46908858,-75.15340995,0,23,46,60,50,9,99,0,168935,0
33,45.46875116,-75.15424052,0,23,56,60,40,9,99,0,168935,0
33,45.46903904,-75.15424766,1,0,6,60,30,9,99,0,168935,0
33,45.46898087,-75.15413387,1,0,16,60,20,9,99,0,168935,0
33,45.4691824,-75.15351962,1,0,26,60,10,9,99,0,168935,0
34,45.44120576,-75.22199356,3,2,0,60,60,10,46,0,122006,1
34,45.44107813,-75.2221352,3,2,10,60,50,10,46,0,122006,1
34,45.44075756,-75.22233794,3,2,20,60,40,10,46,0,122006,1
34,45.44030584,-75.22169627,3,2,30,60,30,10,46,0,122006,1
34,45.4399677,-75.22095666,3,2,40,60,20,10,46,0,122006,1
34,45.43971715,-75.22091925,3,2,50,60,10,10,46,0,122006,1
35,45.48473176,-75.21752227,4,8,58,50,50,5,73,1,197079,0
35,45.48474401,-75.21748808,4,9,8,50,40,5,73,1,197079,0
35,45.48432144,-75.21709795,4,9,18,50,30,5,73,1,197079,0
35,45.48387767,-75.21775123,4,9,28,50,20,5,73,1,197079,0
35,45.48457542,-75.21794404,4,9,38,50,10,5,73,1,197079,0
36,45.44352392,-75.2046072,2,4,36,30,30,10,65,0,131392,1
36,45.44353979,-75.20463822,2,4,46,30,20,10,65,0,131392,1
36,45.44345795,-75.20504368,2,4,56,30,10,10,65,0,131392,1
37,45.56743518,-75.22824697,2,21,40,20,20,1,77,0,347222,1
37,45.56748498,-75.22804107,2,21,50,20,10,1,77,0,347222,1
38,45.46930858,-75.24833694,2,19,44,20,20,6,72,0,168923,1
38,45.46939129,-75.24880844,2,19,54,20,10,6,72,0,178307,1
39,45.55221403,-75.22889015,2,8,17,20,20,3,81,1,319069,1
39,45.55215205,-75.22903134,2,8,27,20,10,3,81,1,319069,1
40,45.56627396,-75.23130913,4,10,49,60,60,7,55,1,337837,0
40,45.56675856,-75.23167597,4,10,59,60,50,7,55,1,337837,0
40,45.56624072,-75.23134773,4,11,9,60,40,7,55,0,337837,0
40,45.5665766,-75.23221041,4,11,19,60,30,7,55,0,337837,0
40,45.56711868,-75.23233265,4,11,29,60,20,7,55,0,337837,0
40,45.56716853,-75.23165745,4,11,39,60,10,7,55,0,337837,0
41,45.50691575,-75.17294915,5,6,25,50,50,3,86,0,234620,1
41,45.50682747,-75.17305829,5,6,35,50,40,3,86,0,234620,1
41,45.50696264,-75.17269674,5,6,45,50,30,3,86,0,234620,1
41,45.50680899,-75.17280332,5,6,55,50,20,3,86,0,234620,1
41,45.50685352,-75.17307762,5,7,5,50,10,3,86,1,234620,1
42,45.57376442,-75.10097467,4,0,1,40,40,3,87,0,356621,1
42,45.57389553,-75.1008625,4,0,11,40,30,3,87,0,356621,1
42,45.57367838,-75.10057417,4,0,21,40,20,3,87,0,356621,1
42,45.57346641,-75.10063284,4,0,31,40,10,3,87,0,356621,1
43,45.54210761,-75.27338263,1,22,58,50,50,2,84,0,300296,1
43,45.54179068,-75.27308974,1,23,8,50,40,2,84,0,300296,1
43,45.54183145,-75.27306268,1,23,18,50,30,2,84,0,300296,1
43,45.54222246,-75.27297455,1,23,28,50,20,2,84,0,300296,1
43,45.54224905,-75.27298122,1,23,38,50,10,2,84,0,300296,1
44,45.46162275,-75.20459665,5,2,11,50,50,3,58,0,159544,1
44,45.46160023,-75.2043946,5,2,21,50,40,3,58,0,159545,1
44,45.46165102,-75.20508126,5,2,31,50,30,3,58,0,159544,1
44,45.46165761,-75.20454433,5,2,41,50,20,3,58,0,159544,1
44,45.4618692,-75.20497375,5,2,51,50,10,3,58,0,159544,1
45,45.5459039,-75.13869663,3,20,55,50,50,5,66,0,309697,1
45,45.54563118,-75.13892071,3,21,5,50,40,5,66,0,309697,1
45,45.54514598,-75.1389569,3,21,15,50,30,5,66,0,300313,1
45,45.54531283,-75.13886096,3,21,25,50,20,5,66,0,300313,1
45,45.54576735,-75.13960509,3,21,35,50,10,5,66,0,309697,1
46,45.41707251,-75.22978791,5,23,12,60,60,4,90,0,84469,1
46,45.41712251,-75.22986143,5,23,22,60,50,4,90,0,84469,1
46,45.41674107,-75.23072819,5,23,32,60,40,4,90,0,84469,1
46,45.41664567,-75.23035603,5,23,42,60,30,4,90,0,84469,1
46,45.41668677,-75.23038201,5,23,52,60,20,4,90,0,84469,1
46,45.41668958,-75.23040724,6,0,2,60,10,4,90,0,84469,1
47,45.54145501,-75.28150286,1,8,54,20,20,6,94,1,300295,1
47,45.54133591,-75.28156122,1,9,4,20,10,6,94,1,300295,1
48,45.53923709,-75.30933838,5,4,58,10,10,10,44,0,290907,1
49,45.51544383,-75.29493432,4,7,14,60,60,2,59,1,253373,0
49,45.51546581,-75.294039,4,7,24,60,50,2,59,1,253373,0
49,45.51555287,-75.2943616,4,7,34,60,40,2,59,1,253373,0
49,45.51557117,-75.29430314,4,7,44,60,30,2,59,1,253373,0
49,45.51550124,-75.29438368,4,7,54,60,20,2,59,1,253373,0
49,45.51492587,-75.2940193,4,8,4,60,10,2,59,1,253373,0
